
Detailed
 ==================== 
Filament No. Sholl Intersections,Unit,Category,Radius,Time,ID,
0,,Filament,0.000,1,100000000,
0,,Filament,1.000,1,100000000,
0,,Filament,2.000,1,100000000,
8,,Filament,3.000,1,100000000,
10,,Filament,4.000,1,100000000,
19,,Filament,5.000,1,100000000,
19,,Filament,6.000,1,100000000,
23,,Filament,7.000,1,100000000,
23,,Filament,8.000,1,100000000,
27,,Filament,9.000,1,100000000,
27,,Filament,10.000,1,100000000,
31,,Filament,11.000,1,100000000,
26,,Filament,12.000,1,100000000,
25,,Filament,13.000,1,100000000,
22,,Filament,14.000,1,100000000,
24,,Filament,15.000,1,100000000,
18,,Filament,16.000,1,100000000,
15,,Filament,17.000,1,100000000,
20,,Filament,18.000,1,100000000,
19,,Filament,19.000,1,100000000,
17,,Filament,20.000,1,100000000,
19,,Filament,21.000,1,100000000,
24,,Filament,22.000,1,100000000,
16,,Filament,23.000,1,100000000,
10,,Filament,24.000,1,100000000,
8,,Filament,25.000,1,100000000,
7,,Filament,26.000,1,100000000,
7,,Filament,27.000,1,100000000,
7,,Filament,28.000,1,100000000,
5,,Filament,29.000,1,100000000,
1,,Filament,30.000,1,100000000,
2,,Filament,31.000,1,100000000,
1,,Filament,32.000,1,100000000,
1,,Filament,33.000,1,100000000,
1,,Filament,34.000,1,100000000,
1,,Filament,35.000,1,100000000,
2,,Filament,36.000,1,100000000,
2,,Filament,37.000,1,100000000,
0,,Filament,38.000,1,100000000,
