
Detailed
 ==================== 
Filament No. Sholl Intersections,Unit,Category,Radius,Time,ID,
0,,Filament,0.000,1,100000000,
0,,Filament,1.000,1,100000000,
0,,Filament,2.000,1,100000000,
0,,Filament,3.000,1,100000000,
1,,Filament,4.000,1,100000000,
6,,Filament,5.000,1,100000000,
9,,Filament,6.000,1,100000000,
11,,Filament,7.000,1,100000000,
12,,Filament,8.000,1,100000000,
15,,Filament,9.000,1,100000000,
17,,Filament,10.000,1,100000000,
12,,Filament,11.000,1,100000000,
15,,Filament,12.000,1,100000000,
27,,Filament,13.000,1,100000000,
32,,Filament,14.000,1,100000000,
32,,Filament,15.000,1,100000000,
28,,Filament,16.000,1,100000000,
18,,Filament,17.000,1,100000000,
22,,Filament,18.000,1,100000000,
22,,Filament,19.000,1,100000000,
24,,Filament,20.000,1,100000000,
21,,Filament,21.000,1,100000000,
24,,Filament,22.000,1,100000000,
26,,Filament,23.000,1,100000000,
24,,Filament,24.000,1,100000000,
21,,Filament,25.000,1,100000000,
20,,Filament,26.000,1,100000000,
17,,Filament,27.000,1,100000000,
17,,Filament,28.000,1,100000000,
22,,Filament,29.000,1,100000000,
19,,Filament,30.000,1,100000000,
16,,Filament,31.000,1,100000000,
18,,Filament,32.000,1,100000000,
15,,Filament,33.000,1,100000000,
20,,Filament,34.000,1,100000000,
18,,Filament,35.000,1,100000000,
15,,Filament,36.000,1,100000000,
14,,Filament,37.000,1,100000000,
13,,Filament,38.000,1,100000000,
10,,Filament,39.000,1,100000000,
9,,Filament,40.000,1,100000000,
9,,Filament,41.000,1,100000000,
13,,Filament,42.000,1,100000000,
7,,Filament,43.000,1,100000000,
5,,Filament,44.000,1,100000000,
5,,Filament,45.000,1,100000000,
4,,Filament,46.000,1,100000000,
2,,Filament,47.000,1,100000000,
2,,Filament,48.000,1,100000000,
3,,Filament,49.000,1,100000000,
1,,Filament,50.000,1,100000000,
1,,Filament,51.000,1,100000000,
1,,Filament,52.000,1,100000000,
1,,Filament,53.000,1,100000000,
1,,Filament,54.000,1,100000000,
2,,Filament,55.000,1,100000000,
2,,Filament,56.000,1,100000000,
2,,Filament,57.000,1,100000000,
2,,Filament,58.000,1,100000000,
2,,Filament,59.000,1,100000000,
2,,Filament,60.000,1,100000000,
3,,Filament,61.000,1,100000000,
2,,Filament,62.000,1,100000000,
1,,Filament,63.000,1,100000000,
1,,Filament,64.000,1,100000000,
1,,Filament,65.000,1,100000000,
1,,Filament,66.000,1,100000000,
1,,Filament,67.000,1,100000000,
1,,Filament,68.000,1,100000000,
1,,Filament,69.000,1,100000000,
1,,Filament,70.000,1,100000000,
0,,Filament,71.000,1,100000000,
